"frequency","capture_date","species","animal_id","region","type","model","status","location"
"159.100","10/22/2015","bighorn","S393","Southern","","Lotek LifecycleL","AWX","Sawmill Canyon"
"159.105",,"deer",,"CD","GPS",,"on order","CD"
"159.105","","deer","GDL021","GD","VHF/GPS","Various","AW","GD"
"159.107","10/24/2015","bighorn","S413","Central","","Televilt Tellus Iridium1D","AWQ","Wheeler Ridge"
"159.110",,"bighorn",,"Langley","VHF","Vectronics Proximity","on order","Langley"
"159.110",,"bighorn",,"Langley","VHF","VIT","on order","Langley"
"159.112","4/3/2015 0","bighorn","S339","Northern","","Televilt Tellus Iridium1D","AWQ","Mt. Gibbs"
"159.115",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"159.115","","deer","GDL076","GD","VHF/GPS","Various","AW","GD"
"159.116","10/28/2012","bighorn","S247","Central","VHF","ATS M2220B","AW","Wheeler Ridge"
"159.117","10/27/2014","bighorn","S330","Northern","GPS","Vectronics Survey","AW","Mt. Warren"
"159.119","3/27/2013 ","bighorn","S175","Central","VHF","ATS M2230B","AW","Convict Creek"
"159.120","10/30/2012","bighorn","S265","Southern","VHF","ATS M2220B","AW","Mt. Langley"
"159.121","","bighorn","","office","VHF","ATS","OW","office"
"159.122","10/27/2014","bighorn","S331","Northern","VHF","ATS M2230B","AW","Mt. Warren"
"159.124","","deer","RVD898","RV","VHF/GPS","Various","AW","RV"
"159.126","10/30/2012","bighorn","S268","Southern","VHF","ATS M2220B","AW","Mt. Williamson"
"159.130",,"bighorn",,"Cathedral","GPS","Vectronics Survey","on order","Cathedral"
"159.130",,"bobcat",,"RV-Big Pine","GPS",,"on order","RV-Big Pine"
"159.130",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.131","10/21/2012","bighorn","S217","Southern","VHF","ATS M2220B","AW","Mt. Langley"
"159.131","10/27/2011","bighorn","S207","Southern","VHF","ATS M2220B","AW","Sawmill Canyon"
"159.135","10/27/2014","bighorn","S330","Northern","VHF","ATS M2230B","AW","Mt. Warren"
"159.136",,"bighorn",,"Langley","VHF","Vectronics Proximity","on order","Langley"
"159.136",,"bighorn",,"Langley","VHF","VIT","on order","Langley"
"159.140",,"deer",,"CD","GPS",,"on order","CD"
"159.140","10/21/2015","bighorn","S386","Central","","Vectronics Survey","AWX","Wheeler Ridge"
"159.145",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
