"frequency","capture_date","species","animal_id","region","type","model","status","location"
"159.530","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.530","","deer","RVD899","RV","VHF/GPS","Various","AW","RV"
"159.531","10/29/2012","bighorn","S254","Southern","VHF","ATS M2220B","AW","Sawmill Canyon"
"159.533",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"159.535",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"159.535","","deer","CDB020","CD","VHF/GPS","Various","AW","CD"
"159.538",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.540","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.540","","deer","RVD830","RV","VHF/GPS","Various","AW","RV"
"159.545",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.545","","deer","GDL084","GD","VHF/GPS","Various","AW","GD"
"159.550",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"159.550",,"deer",,"GD","GPS",,"on order","GD"
"159.550","","deer","RVD916","RV","VHF/GPS","Various","AW","RV"
"159.550","10/27/2014","bighorn","S331","Northern","GPS","Vectronics Survey","AW","Mt. Warren"
"159.551","10/25/2011","bighorn","S190","Southern","VHF","ATS M2220B","AW","Mt. Langley"
"159.555","","deer","RVD900","RV","VHF/GPS","Various","AW","RV"
"159.556","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.556","2/20/2015 ","bighorn","S357","Southern","","Televilt Tellus Iridium1D","AWQX","Sawmill Canyon"
"159.558",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.559","","deer","CDB065","CD","VHF/GPS","Various","AW","CD"
"159.560","10/21/2015","bighorn","S383","Central","GPS","Vectronics Survey","AW","Wheeler Ridge"
"159.561",,"bighorn",,"Langley","GPS","Vectronics Vertex","on order","Langley"
"159.561","10/26/2011","bighorn","S198","Southern","VHF","ATS M2220B","AW","Bubbs Creek"
"159.564",,"deer",,"CD","GPS",,"on order","CD"
"159.570","2/20/2015 ","bighorn","S360","Southern","GPS","Vectronics Survey","AW","Sawmill Canyon"
"159.571","","bighorn","","office","VHF","ATS","OW","office"
"159.571","","deer","CDB047","CD","VHF/GPS","Various","AW","CD"
"159.575","10/19/2014","bighorn","S306","Southern","","Televilt Tellus Iridium1D","AWX","Mt. Baxter"
"159.577",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.580",,"bighorn",,"Langley","GPS","Vectronics Vertex","on order","Langley"
"159.580","","deer","CDB070","CD","VHF/GPS","Various","AW","CD"
"159.585","","deer","GDL068","GD","VHF/GPS","Various","AW","GD"
"159.585","","deer","RVD852","RV","VHF/GPS","Various","AW","RV"
"159.586","","deer","CDB056","CD","VHF/GPS","Various","AW","CD"
"159.588",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.590",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.594",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.595","","deer","GDL092","GD","VHF/GPS","Various","AW","GD"
"159.596","","deer","RVD851","RV","VHF/GPS","Various","AW","RV"
"159.599","11/2/2016 ","bighorn","S297","Northern","VHF","ATS M2230S","AW","Cathedral"
"159.600",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"159.600","10/28/2014","bighorn","S341","Southern","","Televilt Tellus Iridium1D","AWQX","Mt. Langley"
"159.600","3/27/2015 ","bighorn","S377","Kern","","Televilt Tellus Iridium1D","AWQX","Laurel Creek"
"159.601","","bighorn","","office","VHF","ATS","OW","office"
"159.601","10/23/2015","bighorn","S244","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"159.605",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.606","","deer","GDL004","GD","VHF/GPS","Various","AW","GD"
"159.608","12/30/2006","bighorn","S90","Southern","VHF","ATS M1960","AW","Mt. Langley"
"159.610","","bighorn","","office","VHF","ATS","OW","office"
"159.610","","deer","CDB003","CD","VHF/GPS","Various","AW","CD"
"159.610","10/26/2012","bighorn","S228","Southern","VHF","ATS M2220B","AW","Mt. Baxter"
"159.615","","deer","RVD840","RV","VHF/GPS","Various","AW","RV"
"159.617","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.617","","deer","CDB058","CD","VHF/GPS","Various","AW","CD"
"159.618",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.621","","deer","RVD835","RV","VHF/GPS","Various","AW","RV"
"159.622",,"bighorn",,"Langley","GPS","Vectronics Vertex","on order","Langley"
"159.624","10/31/2016","bighorn","S205","Southern","VHF","ATS M2230S","AW","Sawmill Canyon"
"159.626",,"bighorn",,"Gibbs","VHF","VIT","on order","Gibbs"
"159.629","10/26/2016","bighorn","S438","Southern","VHF","ATS M2230S","AW","Mt. Baxter"
"159.630","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.630","3/19/2016 ","bighorn","S417","Central","GPS","Vectronics Vertex","AW","Wheeler Ridge"
"159.635","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.635","","deer","RVD848","RV","VHF","ATS","NR","RV"
"159.635","","deer","RVD901","RV","VHF/GPS","Various","AW","RV"
"159.640",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.640",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.640","","bighorn","","office","VHF","ATS","OW","office"
"159.643","10/18/2014","bighorn","S298","Southern","","Televilt Tellus Iridium1D","AWX","Mt. Baxter"
"159.645","10/27/2014","bighorn","S335","Central","VHF","ATS M2220B-lamb","AW","Convict Creek"
"159.650",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"159.650","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.650","3/24/2016 ","bighorn","S426","Southern","GPS","Vectronics Vertex","AW","Mt. Langley"
"159.651","10/29/2011","bighorn","S215","Northern","VHF","ATS M2220B","AW","Mt. Gibbs"
"159.655",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.655",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.655","10/31/2016","bighorn","S449","Southern","GPS","Vectronics Survey","AW","Sawmill Canyon"
"159.660","","bighorn","","office","VHF","ATS","OW","office"
"159.660","","bighorn","","office","VHF","Vectronics","OW","office"
"159.660","5/13/2016 ","bighorn","S434","Southern","VHF","Vectronics Proximity","AW","Mt. Langley"
"159.661","","deer","CDB008","CD","VHF/GPS","Various","AW","CD"
"159.665","","deer","RVD847","RV","VHF/GPS","Various","AW","RV"
"159.667","","deer","GDL062","GD","VHF/GPS","Various","AW","GD"
"159.669",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"159.67",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.675","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.676","","deer","CDB038","CD","VHF/GPS","Various","AW","CD"
"159.678",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.681",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.684",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"159.686","3/26/2015 ","bighorn","S366","Northern","","Televilt Tellus Iridium1D","AWQ","Cathedral"
"159.691","","deer","CDB019","CD","VHF/GPS","Various","AW","CD"
"159.691","","deer","GDL059","GD","VHF/GPS","Various","AW","GD"
"159.694","","deer","CDB012","CD","VHF/GPS","Various","AW","CD"
"159.696","10/30/2012","bighorn","S269","Southern","VHF","ATS M2220B","AW","Mt. Williamson"
"159.697",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.700","","deer","RVD915","RV","VHF/GPS","Various","AW","RV"
"159.701","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.705","10/21/2015","bighorn","S248","Central","GPS","Vectronics Survey","AW","Wheeler Ridge"
"159.706",,"deer",,"CD","GPS",,"on order","CD"
"159.711",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.711",,"bighorn",,"Wheeler","GPS","Vectronics Vertex","on order","Wheeler"
"159.711","","deer","GDL008","GD","VHF/GPS","Various","AW","GD"
"159.716","","deer","RVD890","RV","VHF/GPS","Various","AW","RV"
"159.717","","deer","GDL065","GD","VHF/GPS","Various","AW","GD"
"159.719",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.721","","deer","RVD827","RV","VHF/GPS","Various","AW","RV"
"159.722","2/20/2015 ","bighorn","S361","Southern","VHF","ATS M2220B","AW","Sawmill Canyon"
"159.724",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.726",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.726",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.728","10/24/2015","bighorn","S407","Southern","GPS","Vectronics Survey","AW","Mt. Langley"
"159.729",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.730",,"Pronghorn",,"Bodie Hills","GPS","Tellus","OW","Bodie Hills"
"159.730","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.730","","bighorn","","office","VHF","ATS","OW","office"
"159.731",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.735","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.735","","bighorn","","office","GPS IridiumLm6 Sat","Lotek","OW","office"
"159.735","10/26/2016","bighorn","S439","Southern","GPS","Vectronics Survey","AW","Mt. Baxter"
"159.736","","bighorn","","office","VHF","ATS","OW","office"
"159.736","","deer","RVD858","RV","VHF/GPS","Various","AW","RV"
"159.740",,"Pronghorn",,"Bodie Hills","GPS","Tellus","OW","Bodie Hills"
"159.740","2/20/2015 ","bighorn","S356","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"159.741","","deer","RVD906","RV","VHF/GPS","Various","AW","RV"
"159.745","3/22/2014 ","bighorn","S202","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"159.746","","bighorn","","office","VHF","ATS","OW","office"
"159.746","","deer","GDL048","GD","VHF/GPS","Various","AW","GD"
"159.749",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.751",,"bighorn",,"new--Baxter-Sawmill","GPS","Vec fem","missing","new--Baxter-Sawmill"
"159.751","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.751","10/24/2015","bighorn","S415","Southern","","Lotek LifecycleL","AWX","Mt. Langley"
"159.755",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.759","","bighorn","","office","VHF","ATS","OW","office"
"159.761","","deer","RVD914","RV","VHF/GPS","Various","AW","RV"
"159.764",,"deer",,"GD","GPS",,"on order","GD"
"159.764","","deer","CDB021","CD","VHF/GPS","Various","AW","CD"
"159.765",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"159.768",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.769","","bighorn","","office","VHF","ATS","OW","office"
"159.770",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.772","10/22/2015","bighorn","S394","Southern","","Lotek LifecycleL","AWX","Sawmill Canyon"
"159.774","10/24/2015","bighorn","S408","Southern","GPS","Vectronics Survey","AW","Mt. Langley"
"159.775",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.776","","bighorn","","office","VHF","ATS","OW","office"
"159.779",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.781","","deer","RVD892","RV","VHF/GPS","Various","AW","RV"
"159.785","10/27/2014","bighorn","S334","Northern","GPS","Televilt Tellus Iridium1D","AW","Mt. Gibbs"
"159.786","10/23/2015","bighorn","S400","Central","","Lotek LifecycleL","AWX","Convict Creek"
"159.790",,"bighorn",,"Gibbs","GPS","Vectronics Vertex","on order","Gibbs"
"159.790",,"deer",,"GD","GPS",,"on order","GD"
"159.791","10/28/2012","bighorn","S246","Central","VHF","ATS M2220B","AW","Wheeler Ridge"
"159.795","","deer","GDL056","GD","VHF/GPS","Various","AW","GD"
"159.796","","deer","CDB057","CD","VHF/GPS","Various","AW","CD"
"159.800","","deer","RVD913","RV","VHF/GPS","Various","AW","RV"
"159.801","","deer","GDL078","GD","VHF/GPS","Various","AW","GD"
"159.805",,"deer",,"CD","GPS",,"on order","CD"
"159.805","10/28/2012","bighorn","S243","Central","","Televilt Tellus Iridium","AWX","Wheeler Ridge"
"159.806","10/30/2012","bighorn","S263","Southern","VHF","ATS M2220B","AW","Mt. Baxter"
"159.807",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.810",,"deer",,"CD","GPS",,"on order","CD"
"159.815","","bighorn","","office","VHF","Vectronics","OW","office"
"159.815","5/23/2016 ","bighorn","S435","Central","VHF","Vectronics Proximity","AW","Convict Creek"
"159.818",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.819","3/27/2013 ","bighorn","S172","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"159.820",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.822","","bighorn","","office","VHF","ATS","OW","office"
"159.824","10/22/2015","bighorn","S395","Southern","","Lotek LifecycleL","AWX","Sawmill Canyon"
"159.825",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.829","","bighorn","","office","VHF","ATS","OW","office"
"159.829","10/22/2014","bighorn","S161","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"159.830",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.830",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.831","10/29/2012","bighorn","S258","Southern","VHF","ATS M2220B","AW","Sawmill Canyon"
"159.835","","deer","RVD902","RV","VHF/GPS","Various","AW","RV"
"159.835","10/30/2012","bighorn","S268","Southern","","Lotek 4400S","AWX","Mt. Williamson"
"159.837",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.839",,"bobcat",,"South and Central","GPS","Iridium ATS","OW","RV-Olancha"
"159.839","10/27/2014","bighorn","S334","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"159.844",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.844",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.846","","deer","GDL046","GD","VHF/GPS","Various","AW","GD"
"159.849","11/1/2016 ","bighorn","S351","Kern","VHF","ATS M2230S","AW","Laurel Creek"
"159.849","4/3/2015 0","bighorn","S324","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"159.851","","deer","RVD891","RV","VHF/GPS","Various","AW","RV"
"159.854","3/26/2015 ","bighorn","S368","Northern","VHF","ATS M2230B","AW","Cathedral"
"159.856",,"deer",,"RV","GPS",,"on order","RV"
"159.858",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.859","","bighorn","","office","VHF","ATS","OW","office"
"159.859","3/27/2013 ","bighorn","S264","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"159.861",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.863",,"Elk",,"office","VHF",,"OW","office - N"
"159.864",,"deer",,"GD","GPS",,"on order","GD"
"159.864","10/23/2015","bighorn","S403","Central","","Lotek LifecycleL","AWX","Convict Creek"
"159.868",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.869",,"deer",,"CD","GPS",,"on order","CD"
"159.869",,"deer",,"GD","GPS",,"on order","GD"
"159.870","3/19/2014 ","bighorn","S290","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"159.874","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.875","10/29/2012","bighorn","S254","Southern","","Televilt Tellus Iridium","AWX","Sawmill Canyon"
"159.876","","deer","RVD869","RV","VHF/GPS","Various","AW","RV"
"159.878",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.881",,"bighorn",,"Warren","GPS","Vectronics Survey","on order","Warren"
"159.881",,"Elk",,"office","VHF",,"OW","office - N"
"159.881","3/22/2014 ","bighorn","S291","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"159.885",,"deer",,"GD","GPS",,"on order","GD"
"159.886",,"bighorn",,"Warren","GPS","Vectronics Survey","on order","Warren"
"159.886","3/19/2014 ","bighorn","S285","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"159.890","2/19/2015 ","bighorn","S355","Southern","GPS","Vectronics Survey","AW","Taboose Creek"
"159.895",,"deer",,"GD","GPS",,"on order","GD"
"159.895","","bighorn","","office","GPS IridiumLm6 Sat","Lotek","OW","office"
"159.896",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.896","","bighorn","","office","VHF","ATS","OW","office"
"159.898",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.900","3/22/2014 ","bighorn","S206","Southern","","Televilt Tellus Iridium","AWX","Olancha Peak"
"159.901",,"deer",,"RV","GPS",,"on order","RV"
"159.901","","deer","GDL055","GD","VHF/GPS","Various","AW","GD"
"159.904","11/2/2016 ","bighorn","S453","Northern","VHF","ATS M2230S","AW","Cathedral"
"159.905",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"159.906","","deer","CDB089","CD","VHF/GPS","Various","AW","CD"
"159.910","","deer","GDL061","GD","VHF/GPS","Various","AW","GD"
"159.910","3/19/2014 ","bighorn","S286","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"159.911","","deer","CDB075","CD","VHF/GPS","Various","AW","CD"
"159.917",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.920",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"159.920","10/27/2014","bighorn","S186","Northern","GPS","Vectronics Survey","AW","Mt. Gibbs"
"159.920","10/31/2016","bighorn","S446","Southern","GPS","Vectronics SurveyL","AW","Mt. Langley"
"159.925",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.925",,"deer",,"RV","GPS",,"on order","RV"
"159.926","","bighorn","","office","GPS IridiumLm6 Sat","Lotek","OW","office"
"159.930",,"deer",,"RV","GPS",,"on order","RV"
"159.930","3/29/2015 ","bighorn","S295","Northern","GPS","Vectronics Survey","AW","Cathedral"
"159.935",,"bobcat",,"Independence-Olancha","GPS",,"on order","Independence-Olancha"
"159.935","","deer","CDB094","CD","VHF/GPS","Various","AW","CD"
"159.935","","deer","GDL082","GD","VHF","ATS","NR","GD"
"159.936","","deer","RVD860","RV","VHF/GPS","Various","AW","RV"
"159.938",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.940","10/19/2014","bighorn","S310","Southern","GPS","Vectronics Survey","AW","Sawmill Canyon"
"159.945",,"bobcat",,"South","GPS","Iridium Vectronics","OW","Big Pine-Olancha"
"159.945","","deer","CDB088","CD","VHF/GPS","Various","AW","CD"
"159.945","","deer","RVD861","RV","VHF/GPS","Various","AW","RV"
"159.950",,"deer",,"GD","GPS",,"on order","GD"
"159.950",,"Elk",,"office","VHF",,"OW","office - N"
"159.950","","deer","CDB073","CD","VHF/GPS","Various","AW","CD"
"159.950","","deer","RVD885","RV","VHF/GPS","Various","AW","RV"
"159.950","3/22/2014 ","bighorn","S291","Southern","","Televilt Tellus Iridium","AWX","Olancha Peak"
"159.955","","deer","CDB079","CD","VHF/GPS","Various","AW","CD"
"159.955","1/21/2016","bobcat","BC012","Sawmill","GPS","Iridium ATS","AW","Sawmill Canyon"
"159.955","10/18/2014","bighorn","S229","Southern","GPS","Vectronics Survey","AW","Mt. Baxter"
"159.957",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.958","","bighorn","","office","VHF","ATS","OW","office"
"159.959","1/20/2016","bobcat","BC010","Lone Pine","GPS","Iridium ATS","AW","Mt. Langley"
"159.960","","deer","CDB097","CD","VHF/GPS","Various","AW","CD"
"159.965",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"159.965",,"deer",,"GD","GPS",,"on order","GD"
"159.965","","deer","CDB093","CD","VHF/GPS","Various","AW","CD"
"159.968",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.970",,"deer",,"GD","GPS",,"on order","GD"
"159.975","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.975","","deer","CDB076","CD","VHF/GPS","Various","AW","CD"
"159.975","","deer","GDL079","GD","VHF/GPS","Various","AW","GD"
"159.980","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.980","","bighorn","","office","VHF","ATS","OW","office"
"159.980","","deer","CDB100","CD","VHF/GPS","Various","AW","CD"
"159.980","","deer","RVD897","RV","VHF/GPS","Various","AW","RV"
"159.981","10/21/2014","bighorn","S323","Southern","VHF","ATS M2220B-lamb","AW","Sawmill Canyon"
"159.985","","deer","CDB081","CD","VHF/GPS","Various","AW","CD"
"159.985","10/23/2015","bighorn","S401","Central","GPS","Vectronics Survey","AW","Convict Creek"
"159.985","10/27/2014","bighorn","S337","Central","GPS","Vectronics Survey","AW","Convict Creek"
"159.985","11/2/2016 ","bighorn","S455","Northern","GPS","Vectronics Survey","AW","Cathedral"
"159.986",,"deer",,"GD","GPS",,"on order","GD"
"159.990",,"bobcat",,"Independence-Olancha","GPS",,"on order","Independence-Olancha"
"159.990","","deer","CDB092","CD","VHF/GPS","Various","AW","CD"
"159.990","11/2/2016 ","bighorn","S453","Northern","GPS","Vectronics Survey","AW","Cathedral"
"159.991","","bighorn","","office","VHF","ATS","OW","office"
"159.991","10/24/2015","bighorn","S412","Southern","GPS","Vectronics Survey","AW","Taboose Creek"
"159.995","10/28/2012","bighorn","S247","Central","","Televilt Tellus Basic","AWX","Wheeler Ridge"
"159.996","","deer","CDB037","CD","VHF/GPS","Various","AW","CD"
"159.996","10/19/2014","bighorn","S308","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"159.996","10/24/2015","bighorn","S270","Southern","GPS","Vectronics Survey","AW","Mt. Williamson"
"159.999",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.001",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"160.001","","deer","CDB095","CD","VHF/GPS","Various","AW","CD"
"160.004","3/27/2015 ","bighorn","S379","Kern","VHF","ATS M2230B","AW","Laurel Creek"
"160.005","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.005","","deer","GDL085","GD","VHF/GPS","Various","AW","GD"
"160.006","","deer","CDB061","CD","VHF/GPS","Various","AW","CD"
"160.010","","deer","GDL051","GD","VHF/GPS","Various","AW","GD"
"160.011",,"bobcat",,"unknown","GPS",,"MNW","unknown"
"160.013","3/22/2014 ","bighorn","S200","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"160.014",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.014","","deer","CDB101","CD","VHF/GPS","Various","AW","CD"
"160.016","10/24/2015","bighorn","S411","Southern","GPS","Vectronics Survey","AW","Taboose Creek"
"160.019","","bighorn","","office","VHF","ATS","OW","office"
"160.024",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.025",,"bighorn",,"Gibbs","GPS","Vectronics Vertex","on order","Gibbs"
"160.025",,"bobcat",,"Independence-Olancha","GPS",,"on order","Independence-Olancha"
"160.025","","deer","GDL060","GD","VHF","ATS","NR","GD"
"160.028",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.030","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.030","","deer","CDB090","CD","VHF/GPS","Various","AW","CD"
"160.032","","bighorn","","office","VHF","ATS","OW","office"
"160.034","","bighorn","","office","VHF","ATS","OW","office"
"160.035","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.035","","deer","CDB080","CD","VHF/GPS","Various","AW","CD"
"160.035","","deer","GDL093","GD","VHF/GPS","Various","AW","GD"
"160.039",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.04",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"160.040",,"bighorn",,"Warren","GPS","Vectronics Survey","on order","Warren"
"160.044",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.045",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"160.047","","bighorn","","office","VHF","ATS","OW","office"
"160.050",,"Elk",,"Independence","GPS","Tellus Followit","AW","E. Independence"
"160.050","","bighorn","","office","GPS Satellite Downld","Televilt","OW","office"
"160.050","3/26/2016","Elk",,"South","GPS",,"AW","Whitney"
"160.051","","bighorn","","office","VHF","ATS","OW","office"
"160.054","3/19/2014 ","bighorn","S284","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"160.055","10/24/2015","bighorn","S414","Southern","","Lotek LifecycleL","AWX","Mt. Langley"
"160.059",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.060","","deer","CDB086","CD","VHF/GPS","Various","AW","CD"
"160.060","","deer","GDL063","GD","VHF/GPS","Various","AW","GD"
"160.064",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.065","","deer","CDB091","CD","VHF/GPS","Various","AW","CD"
"160.067",,"Dog",,"South",,,"AW","J_Davis"
"160.070","","deer","CDB082","CD","VHF/GPS","Various","AW","CD"
"160.070","1/19/2016","bobcat","BC008","Lone Pine","GPS","Iridium ATS","AW","Mt. Langley"
"160.075",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"160.075","","bighorn","","office","VHF","Vectronics","OW","office"
"160.075","","deer","CDB072","CD","VHF/GPS","Various","AW","CD"
"160.075","5/25/2016 ","bighorn","S436","Central","VHF","Vectronics Proximity","AW","Convict Creek"
"160.08",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"160.080","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.080","","deer","CDB099","CD","VHF/GPS","Various","AW","CD"
"160.080","","deer","GDL094","GD","VHF/GPS","Various","AW","GD"
"160.083","3/19/2014 ","bighorn","S287","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"160.085","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.086","","deer","GDL052","GD","VHF/GPS","Various","AW","GD"
"160.088",,"Elk",,"Lone Pine","GPS","ATS Globalstar","AW","Lone Pine"
"160.090","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.091",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.091",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"160.095","","deer","CDB087","CD","VHF/GPS","Various","AW","CD"
"160.095","3/24/2016 ","bighorn","S428","Southern","GPS","Vectronics Survey","AW","Mt. Langley"
"160.099","10/25/2015","bighorn","S143","Central","VHF","ATS M2220B-lamb","AW","Wheeler Ridge"
"160.100",,"deer",,"GD","GPS",,"on order","GD"
"160.105","","deer","RVD910","RV","VHF/GPS","Various","AW","RV"
"160.105","11/2/2016 ","bighorn","S456","Northern","GPS","Vectronics Survey","AW","Cathedral"
"160.106","","deer","GDL042","GD","VHF/GPS","Various","AW","GD"
"160.109",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.110","10/27/2012","bighorn","S238","Northern","GPS","Lotek 8000","AW","Mt. Warren"
"160.110","3/19/2014 ","bighorn","S290","Kern","GPS","Lotek 8000","AW","Big Arroyo"
"160.114",,"Dog",,"South",,,"AW","J_Davis"
